name,establishment,city,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating
99 Pancakes,Dessert Parlour,Chennai,Besant Nagar,13.00058695,80.26985262,"Desserts, Beverages, Healthy Food",300,"Credit Card, Delivery, Cash, Takeaway Available, Debit Card, Desserts and Bakes, Indoor Seating, Pure Veg, Air Conditioned, Digital Payments Accepted",4.2
Ramana Mess,Quick Bites,Madurai,Iyer Bungalow,9.955239558,78.13262254,South Indian,150,"No Alcohol Available, Takeaway Available, Cash, Indoor Seating, Pure Veg, Free Parking",4.2
GoParatha,,Coimbatore,Lakshmi Mills,11.01343735,76.98649619,North Indian,250,"No Seating Available, Delivery, Cash, Takeaway Available",4.3
Basha Halwawala,Sweet Shop,Chennai,Triplicane,13.05924528,80.2714901,Mithai,250,"No Seating Available, Takeaway Available, Cash, Desserts and Bakes, Pure Veg",4.4
Biriyani Hut,Casual Dining,Kochi,Kakkanad,10.014327,76.333378,"North Indian, Biryani",400,"Cash, Takeaway Available, Lunch, Delivery, No Alcohol Available, Dinner, Indoor Seating",2.5
Hotel Saravana Bhavan,Casual Dining,Chennai,Anna Nagar West,13.08735848,80.1980368,"South Indian, Chinese",400,"Cash, Credit Card, Breakfast, Debit Card, No Alcohol Available, Dinner, Delivery, Lunch, Takeaway Available, Indoor Seating, Buffet, Pure Veg, Digital Payments Accepted, Free Parking",2.6
Tantra Ã¢â‚¬â€œ Anandha Inn,Casual Dining,Puducherry,"Hotel Anandha Inn, Heritage Town",11.94192798,79.82873484,"North Indian, Grill",1500,"Credit Card, Dinner, Debit Card, Takeaway Available, Lunch, Serves Alcohol, Cash, Outdoor Seating, Fullbar, Valet Parking Available, Smoking Area, Table booking recommended",3.8
Lunch Box Restaurant,Quick Bites,Coimbatore,Gandhipuram,11.01895205,76.95676323,"North Indian, South Indian, Chinese, Kebab, Biryani",500,"Cash, Debit Card, Takeaway Available, Dinner, Credit Card, Delivery, Lunch, Indoor Seating, Outdoor Seating, Digital Payments Accepted",3.9
Murugan Idli Shop,Quick Bites,Chennai,T. Nagar,13.03514818,80.2299685,South Indian,300,"Dinner, Takeaway Available, Credit Card, Debit Card, Lunch, Cash, Breakfast, Indoor Seating, Catering Available, Table booking not available, Pure Veg, Digital Payments Accepted",4
A2 - The Park,Fine Dining,Chennai,"The Park, Nungambakkam",13.05268566,80.24992783,"Japanese, Seafood, Sushi, Continental, Desserts",2500,"Credit Card, Cash, Takeaway Available, Lunch, Debit Card, Dinner, Beer, Table booking recommended, Valet Parking Available, Luxury Dining, Fullbar, Rooftop, Poolside, Smoking Area, Serves Cocktails, Indoor Seating, Wheelchair Accessible, Wine, 4/5 Star, Air Conditioned, Gastro Pub",4.2
Indo Malaysian Restaurants,Casual Dining,Chennai,Medavakkam,12.92408025,80.18299531,"Malaysian, North Indian",750,"Credit Card, Lunch, Debit Card, No Alcohol Available, Takeaway Available, Cash, Delivery, Dinner, Indoor Seating, Air Conditioned, Table reservation required, Digital Payments Accepted",2.1
Hotel Junior Kuppanna,Casual Dining,Coimbatore,Ganapathy,11.04633213,76.98843576,"Chettinad, South Indian",500,"Cash, Delivery, No Alcohol Available, Dinner, Credit Card, Takeaway Available, Lunch, Debit Card, Indoor Seating",2.6
Writer's Cafe,Food Court,Chennai,"Phoenix Market City, Velachery",12.9920016,80.21707211,"Bakery, Fast Food, Desserts",450,"Credit Card, Debit Card, Lunch, Mall Parking, Delivery, Takeaway Available, Breakfast, Dinner, Cash, Digital Payments Accepted, Indoor Seating, Air Conditioned",3.3
Chillax,Quick Bites,Kochi,Kakkanad,10.00136154,76.36080354,"Continental, Arabian, Chinese",500,"Cash, Debit Card, Takeaway Available, Dinner, Delivery, Credit Card, No Alcohol Available, Breakfast, Indoor Seating",3.6
Juice Forest,Beverage Shop,Chennai,Kodambakkam,13.05184659,80.22871625,"Beverages, Juices",150,"Dinner, Cash, Debit Card, Lunch, Delivery, Credit Card, Indoor Seating, Pure Veg, Air Conditioned",3.8
Fruit Shop On Greams Road,Beverage Shop,Chennai,Kilpauk,13.07974901,80.24414666,"Beverages, Fast Food",300,"Takeaway Available, Credit Card, Debit Card, Cash, Outdoor Seating, Air Conditioned, Indoor Seating, Digital Payments Accepted, Pure Veg",3.8
Subway,Quick Bites,Kochi,"Gold Souk GrandÃƒÂ©, Vytilla",9.977601,76.316511,"Fast Food, Healthy Food, Sandwich, Salad",500,"Dinner, Mall Parking, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned",3.9
Hotel Cheap & Best,Quick Bites,Coimbatore,Gandhipuram,11.01787196,76.96878154,"Fast Food, Chinese, South Indian",250,"Lunch, Cash, Breakfast, No Alcohol Available, Dinner, Takeaway Available, Indoor Seating",4
Panaimarathu Biryani Kadai,Quick Bites,Madurai,Balarengapuram,9.911959666,78.12511906,"Biryani, South Indian",300,"No Alcohol Available, Lunch, Takeaway Available, Cash, Dinner, Indoor Seating, Halal",4
